Keys,Values
Tên TCPH:,"
Công ty cổ phần Dược - Trang thiết bị y tế Bình Định (Bidiphar)
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Dược - Trang thiết bị y tế Bình Định (Bidiphar)
Mã chứng khoán:,DBD
Mã ISIN:,VN000000DBD0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 06/2017/GCNCP-VSD do VSD cấp lần đầu ngày 04/01/2017; số 06/2017/GCNCP-VSD-1 cấp thay đổi lần 01 ngày 12/07/2021
Tổng số chứng khoán đăng ký:,57.612.444 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,576.124.440.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
