Keys,Values
Tên TCPH:,"
Công ty Cổ phần Dược phẩm Phong Phú
"
Tên chứng khoán:,Cổ phiếu CTCP Dược phẩm Phong Phú
Mã chứng khoán:,PPP
Mã ISIN:,VN000000PPP8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 17/2009/GCNCP-TTLK do VSD cấp lần đầu ngày 17/06/2009, số 17/2009/GCNCP-VSD-06 cấp thay đổi lần 6 ngày 19/07/2019"
Tổng số chứng khoán đăng ký:,8.799.991 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,87.999.910.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
