Keys,Values
Tên TCPH:,"
Công ty cổ phần Nam Dược
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Nam Dược
Mã chứng khoán:,NDC
Mã ISIN:,VN000000NDC7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 34/2010/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 05/02/2010, số 34/2010/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 24/12/2019 "
Tổng số chứng khoán đăng ký:,5.964.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,59.640.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
