Keys,Values
Tên TCPH:,"
Công ty cổ phần  SXKD Dược và trang thiết bị y tế Việt Mỹ
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần  SXKD Dược và trang thiết bị y tế Việt Mỹ
Mã chứng khoán:,AMV
Mã ISIN:,VN000000AMV5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 116/2009/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 21/12/2009, số 116/2009/GCNCP-VSD-6 cấp thay đổi lần 6 ngày 23/06/2022"
Tổng số chứng khoán đăng ký:,131.105.650 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.311.056.500.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
