Keys,Values
Tên TCPH:,"
Công ty cổ phần Dược Thú y Cai Lậy
"
Tên chứng khoán:,Cổ phiếu CTCP dược thú y Cai Lậy
Mã chứng khoán:,MKV
Mã ISIN:,VN000000MKV4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 51/2008/GCNCP-VSD-3 do TTLKCK Việt Nam cấp lần đầu ngày 11/11/2008, số 51/2008/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 23/05/2016"
Tổng số chứng khoán đăng ký:,5.000.038 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,50.000.380.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
