Keys,Values
Tên TCPH:,"
Công ty cổ phần Dược phẩm Agimexpharm
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Dược phẩm Agimexpharm
Mã chứng khoán:,AGP
Mã ISIN:,VN000000AGP9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 67/2015/GCNCP-VSD do VSD cấp lần đầu ngày 13/8/2015, số 67/2015/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 23/03/2022"
Tổng số chứng khoán đăng ký:,17.969.247 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,179.692.470.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
