Keys,Values
Tên TCPH:,"
CTCP Y Dược Phẩm VIMEDIMEX
"
Tên chứng khoán:,Cổ phiếu CTCP Y Dược phẩm VIMEDIMEX
Mã chứng khoán:,VMD
Mã ISIN:,VN000000VMD9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 201/2010/GCNCP-VSD do VSD cấp lần đầu ngày 13/08/2010, số 201/2010/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 16/05/2017"
Tổng số chứng khoán đăng ký:,15.440.268 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,154.402.680.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
