STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,110.004.656,1.100.046.560.000,08/2006/GCNCP-TTLK,14/11/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,143.005.996,1.430.059.960.000,08/2006/GCNCP-TTLK-1,11/06/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,9.995.344,99.953.440.000,08/2006/GCNCP-TTLK-2,20/12/2007
4,Điều chỉnh lần 3,Đăng ký bổ sung,199.655.598,1.996.555.980.000,08/2006/GCNCP-TTLK-3,30/10/2008
5,Điều chỉnh lần 4,Đăng ký bổ sung,169.503.784,1.695.037.840.000,08/2006/GCNCP-TTLK-4,22/12/2008
6,Điều chỉnh lần 5,Đăng ký bổ sung,134.993.100,1.349.931.000.000,08/2006/GCNCP-TTLK-5,08/10/2009
7,Điều chỉnh lần 6,Đăng ký bổ sung,10.816.847,108.168.470.000,08/2006/GCNCP-TTLK-6,22/12/2009
8,Điều chỉnh lần 7,Đăng ký bổ sung,155.595.065,1.555.950.650.000,08/2006/GCNCP-VSD-7,03/03/2011
9,Điều chỉnh lần 8,Đăng ký bổ sung,2.279.294,22.792.940.000,08/2006/GCNCP-VSD-8,28/12/2011
10,Điều chỉnh lần 9,Đăng ký bổ sung,391.324,3.913.240.000,08/2006/GCNCP-VSD-9,21/03/2013
11,Điều chỉnh lần 10,Đăng ký bổ sung,251.956,2.519.560.000,08/2006/GCNCP-VSD-10,12/08/2013
12,Điều chỉnh lần 11,Đăng ký bổ sung,1.203.542,12.035.420.000,08/2006/GCNCP-VSD-11,10/02/2015
13,Điều chỉnh lần 12,Đăng ký bổ sung,89.627.390,896.273.900.000,số 08/2006/GCNCP-VSD-12,16/01/2017
14,Điều chỉnh lần 13,Đăng ký bổ sung,98.590.129,985.901.290.000,số 08/2006/GCNCP-VSD-13,17/05/2018
15,Điều chỉnh lần 14,Đăng ký bổ sung,162.673.713,1.626.737.130.000,số 08/2006/GCNCP-VSD-14,16/10/2018
16,Điều chỉnh lần 15,Đăng ký bổ sung,374.149.539,3.741.495.390.000,số 08/2006/GCNCP-VSD-15,26/08/2019
17,Điều chỉnh lần 16,Đăng ký bổ sung,498.821.183,4.988.211.830.000,số 08/2006/GCNCP-VSD-16,11/09/2020
18,Điều chỉnh lần 17,Đăng ký bổ sung,540.389.615,5.403.896.150.000,08/2006/GCNCP-VSD-17,30/06/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.701.948.075,27.019.480.750.000,,
