STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,596.199.234,5.961.992.340.000,số 195/2016/GCNCP-VSD,15/12/2016
2,Điều chỉnh lần 1,Đăng ký bổ sung,33.459.554,334.595.540.000,195/2016/GCNCP-VSD-1,17/07/2017
3,Điều chỉnh lần 2,Đăng ký bổ sung,20.000.000,200.000.000.000,số 195/2016/GCNCP-VSD-2,22/01/2018
4,Điều chỉnh lần 3,Đăng ký bổ sung,9.809.962,98.099.620.000,số 195/2016/GCNCP-VSD-3,15/03/2018
5,Điều chỉnh lần 4,Đăng ký bổ sung,202.317.178,2.023.171.780.000,số 195/2016/GCNCP-VSD-4,17/04/2018
6,Điều chỉnh lần 5,Đăng ký bổ sung,52.500.000,525.000.000.000,số 195/2016/GCNCP-VSD-5,14/06/2018
7,Điều chỉnh lần 6,Đăng ký bổ sung,320.746,3.207.460.000,số 195/2016/GCNCP-VSD-6,12/12/2018
8,Điều chỉnh lần 7,Đăng ký bổ sung,22.670.000,226.700.000.000,số 195/2016/GCNCP-VSD-7,07/01/2019
9,Điều chỉnh lần 8,Đăng ký bổ sung,18.604.123,186.041.230.000,số 195/2016/GCNCP-VSD-8,19/12/2019
10,Điều chỉnh lần 9,Đăng ký bổ sung,13.660.000,136.600.000.000,số 195/2016/GCNCP-VSD-9,23/03/2020
11,Điều chỉnh lần 10,Đăng ký bổ sung,1.290.470,12.904.700.000,số 195/2016/GCNCP-VSD-10,21/09/2020
12,Điều chỉnh lần 11,Đăng ký bổ sung,189.775,1.897.750.000,số 195/2016/GCNCP-VSD-11,05/10/2020
13,Điều chỉnh lần 12,Đăng ký bổ sung,14.543.110,145.431.100.000,số 195/2016/GCNCP-VSD-12,27/10/2020
14,Điều chỉnh lần 13,Đăng ký bổ sung,151.820,1.518.200.000,số 195/2016/GCNCP-VSD-13,14/12/2020
15,Điều chỉnh lần 14,Đăng ký bổ sung,379.550,3.795.500.000,số 195/2016/GCNCP-VSD-14,24/12/2020
16,Điều chỉnh lần 15,Đăng ký bổ sung,189.775,1.897.750.000,195/2016/GCNCP-VSD-15,21/01/2021
17,Điều chỉnh lần 16,Đăng ký bổ sung,4.744.375,47.443.750.000,195/2016/GCNCP-VSD-16,23/04/2021
18,Điều chỉnh lần 17,Đăng ký bổ sung,77.569.358,775.693.580.000,195/2016/GCNCP-VSD-17,26/04/2021
19,Điều chỉnh lần 18,Đăng ký bổ sung,4.213.005,42.130.050.000,195/2016/GCNCP-VSD-18,13/05/2021
20,Điều chỉnh lần 19,Đăng ký bổ sung,1.897.750,18.977.500.000,195/2016/GCNCP-VSD-19,21/05/2021
21,Điều chỉnh lần 20,Đăng ký bổ sung,7.029.266,70.292.660.000,195/2016/GCNCP-VSD-20,31/05/2021
22,Điều chỉnh lần 21,Đăng ký bổ sung,385.914.534,3.859.145.340.000,195/2016/GCNCP-VSD-21,07/07/2021
23,Điều chỉnh lần 22,Đăng ký bổ sung,5.952.034,59.520.340.000,195/2016/GCNCP-VSD-22,23/07/2021
24,Điều chỉnh lần 23,Đăng ký bổ sung,456.815.700,4.568.157.000.000,195/2016/GCNCP-VSD-23,26/01/2022
25,Điều chỉnh lần 24,Đăng ký bổ sung,19.304.200,193.042.000.000,195/2016/GCNCP-VSD-24,27/05/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.949.725.519,19.497.255.190.000,,
