STT,Lần đăng ký,Lý do,Số lượng ĐK,Số lượng hủy ĐK,Giá trị ĐK,Giá trị hủy ĐK,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,5.300.000,0,53.000.000.000,0,số 03/2020/GCNETF-VSD,23/06/2020
2,Điều chỉnh lần 1,,0,-200.000,0,-2.000.000.000,số 03/2020/GCNETF-VSD-01,19/08/2020
3,Điều chỉnh lần 2,,100.000,0,1.000.000.000,0,số 03/2020/GCNETF-VSD-02,07/09/2020
4,Điều chỉnh lần 3,,200.000,-100.000,2.000.000.000,-1.000.000.000,số 03/2020/GCNETF-VSD-03,10/09/2020
5,Điều chỉnh lần 4,,500.000,0,5.000.000.000,0,số 03/2020/GCNETF-VSD-04,22/09/2020
6,Điều chỉnh lần 5,,300.000,0,3.000.000.000,0,số 03/2020/GCNETF-VSD-05,23/09/2020
7,Điều chỉnh lần 6,,0,-200.000,0,-2.000.000.000,số 03/2020/GCNETF-VSD-06,27/10/2020
8,Điều chỉnh lần 7,Đăng ký bổ sung,100.000,0,1.000.000.000,0,số 03/2020/GCNETF-VSD-07,01/12/2020
9,Điều chỉnh lần 8,,0,-1.000.000,0,-10.000.000.000,03/2020/GCNETF-VSD-08,18/03/2021
10,Điều chỉnh lần 9,,100.000,0,1.000.000.000,0,03/2020/GCNETF-VSD-09,22/04/2021
11,Điều chỉnh lần 10,,100.000,0,1.000.000.000,0,03/2020/GCNETF-VSD-10,17/05/2021
12,Điều chỉnh lần 11,,600.000,0,6.000.000.000,0,03/2020/GCNETF-VSD-11,13/08/2021
13,Điều chỉnh lần 12,,500.000,0,5.000.000.000,0,03/2020/GCNETF-VSD-12,25/08/2021
14,Điều chỉnh lần 13,,600.000,0,6.000.000.000,0,03/2020/GCNETF-VSD-13,23/09/2021
15,Điều chỉnh lần 14,,100.000,0,1.000.000.000,0,03/2020/GCNETF-VSD-14,16/12/2021
16,Điều chỉnh lần 15,,700.000,0,7.000.000.000,0,03/2020/GCNETF-VSD-15,29/12/2021
17,Điều chỉnh lần 16,,1.000.000,0,10.000.000.000,0,03/2020/GCNETF-VSD-16,17/02/2022
18,Điều chỉnh lần 17,,500.000,0,5.000.000.000,0,03/2020/GCNETF-VSD-17,07/03/2022
19,Điều chỉnh lần 18,,500.000,0,5.000.000.000,0,03/2020/GCNETF-VSD-18,10/03/2022
20,Điều chỉnh lần 19,,500.000,0,5.000.000.000,0,03/2020/GCNETF-VSD-19,21/04/2022
21,Điều chỉnh lần 20,,500.000,0,5.000.000.000,0,03/2020/GCNETF-VSD-20,22/04/2022
22,Điều chỉnh lần 21,,500.000,0,5.000.000.000,0,03/2020/GCNETF-VSD-21,12/05/2022
23,Điều chỉnh lần 22,,500.000,0,5.000.000.000,0,03/2020/GCNETF-VSD-22,17/05/2022
24,Điều chỉnh lần 23,,500.000,0,5.000.000.000,0,03/2020/GCNETF-VSD-23,23/05/2022
25,Điều chỉnh lần 24,,100.000,0,1.000.000.000,0,03/2020/GCNETF-VSD-24,26/05/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,13.800.000,-1.500.000,138.000.000.000,-15.000.000.000,,
Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,12.300.000,,,,,
Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,123.000.000.000,,,,,
