STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,50.000.000,500.000.000.000,35/2006/GCNCP-TTLK,13/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,29.999.917,299.999.170.000,35/2006/GCNCP-TTLK,28/09/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,39.999.954,399.999.540.000,15/2008/GCNCP-CNTTLK,25/01/2008
4,Điều chỉnh lần 3,Đăng ký bổ sung,16.666.800,166.668.000.000,29/2008/GCNCP-CNTTLK,11/03/2008
5,Điều chỉnh lần 4,Đăng ký bổ sung,16.666.800,166.668.000.000,16/2009/GCNCP-CNTTLK,15/04/2009
6,Điều chỉnh lần 4,Đăng ký bổ sung,22.222.400,222.224.000.000,32/2010/GCNCP-CNVSD,23/02/2010
7,Điều chỉnh lần 5,Đăng ký bổ sung,175.555.871,1.755.558.710.000,64/2010/GCNCP-CNVSD,21/04/2010
8,Điều chỉnh lần 6,Đăng ký bổ sung,1.500.000,15.000.000.000,35/2006/GCNCP-VSD-6,17/01/2012
9,Điều chỉnh lần 7,Đăng ký bổ sung,1.183.200,11.832.000.000,35/2006/GCNCP-VSD-7,08/03/2013
10,Điều chỉnh lần 8,Đăng ký bổ sung,2.316.800,23.168.000.000,35/2006/GCNCP-VSD-8,27/02/2015
11,Điều chỉnh lần 9,Đăng ký bổ sung,71.221.057,712.210.570.000,35/2006/GCNCP-VSD-9,22/05/2015
12,Điều chỉnh lần 10,Đăng ký bổ sung,42.730.885,427.308.850.000,35/2006/GCNCP-VSD-10,30/09/2015
13,Điều chỉnh lần 11,Đăng ký bổ sung,10.000.000,100.000.000.000,35/2006/GCNCP-VSD-11,10/12/2015
14,Điều chỉnh lần 12,Đăng ký bổ sung,10.000.000,100.000.000.000,số 35/2006/GCNCP-VSD-12,15/02/2017
15,Điều chỉnh lần 13,Đăng ký bổ sung,10.000.000,100.000.000.000,số 35/2006/GCNCP-VSD-13,02/02/2018
16,Điều chỉnh lần 14,Thay đổi tên TCPH,0,0,số 35/2006/GCNCP-VSD-14,27/12/2018
17,Điều chỉnh lần 15,Đăng ký bổ sung,10.000.000,100.000.000.000,số 35/2006/GCNCP-VSD-15,25/01/2019
18,Điều chỉnh lần 16,Đăng ký bổ sung,10.000.000,100.000.000.000,số 35/2006/GCNCP-VSD-16,18/02/2020
19,Điều chỉnh lần 17,Đăng ký bổ sung,82.881.929,828.819.290.000,số 35/2006/GCNCP-VSD-17,12/05/2020
20,Điều chỉnh lần 18,Đăng ký bổ sung,46.859.491,468.594.910.000,35/2006/GCNCP-VSD-18,06/04/2021
21,Điều chỉnh lần 19,Đăng ký bổ sung,7.500.000,75.000.000.000,35/2006/GCNCP-VSD-19,17/06/2021
22,Điều chỉnh lần 20,Đăng ký bổ sung,218.292.538,2.182.925.380.000,35/2006/GCNCP-VSD-20,06/10/2021
23,Điều chỉnh lần 21,Đăng ký bổ sung,109.152.380,1.091.523.800.000,35/2006/GCNCP-VSD-21,08/11/2021
24,Điều chỉnh lần 22,Đăng ký bổ sung,10.000.000,100.000.000.000,số 35/2006/GCNCP-VSD-22,08/03/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,994.750.022,9.947.500.220.000,,
