STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,8.000.000,80.000.000.000,119/2009/GCNCP-CNVSD,14/12/2009
2,Điều chỉnh lần 1,Đăng ký bổ sung,8.000.000,80.000.000.000,119/2009/GCNCP-VSD-1,27/10/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,16.000.000,160.000.000.000,119/2009/GCNCP-VSD-2,04/01/2012
4,Điều chỉnh lần 3,Đăng ký bổ sung,10.000.000,100.000.000.000,119/2009/GCNCP-VSD-3,11/01/2013
5,Điều chỉnh lần 4,Đăng ký bổ sung,10.499.681,104.996.810.000,119/2009/GCNCP-VSD-4,27/05/2013
6,Điều chỉnh lần 5,Đăng ký bổ sung,300.000,3.000.000.000,119/2009/GCNCP-VSD-5,24/09/2013
7,Điều chỉnh lần 6,Đăng ký bổ sung,22.200.319,222.003.190.000,119/2009/GCNCP-VSD-6,25/02/2014
8,Điều chỉnh lần 7,Đăng ký bổ sung,25.700.000,257.000.000.000,119/2009/GCNCP-VSD-7,06/01/2015
9,Điều chỉnh lần 8,Đăng ký bổ sung,5.245.469,52.454.690.000,119/2009/GCNCP-VSD-8,30/03/2015
10,Điều chỉnh lần 9,Đăng ký bổ sung,300.000,3.000.000.000,119/2009/GCNCP-VSD-9,14/04/2015
11,Điều chỉnh lần 10,Đăng ký bổ sung,10.618.101,106.181.010.000,119/2009/GCNCP-VSD-10,15/07/2015
12,Điều chỉnh lần 11,Đăng ký bổ sung,400.000,4.000.000.000,119/2009/GCNCP-VSD-11,28/10/2015
13,Điều chỉnh lần 12,Đăng ký bổ sung,135.785.498,1.357.854.980.000,số: 119/2009/GCNCP-VSD-12,24/11/2016
14,Điều chỉnh lần 13,Đăng ký bổ sung,32.862.291,328.622.910.000,119/2009/GCNCP-VSD-13,05/06/2017
15,Điều chỉnh lần 14,Đăng ký bổ sung,17.281.327,172.813.270.000,số: 119/2009/GCNCP-VSD-14,23/11/2017
16,Điều chỉnh lần 15,Thay đổi tên TCPH,0,0,số: 119/2009/GCNCP-VSD-15,10/05/2018
17,Điều chỉnh lần 16,Đăng ký bổ sung,39.378.726,393.787.260.000,số: 119/2009/GCNCP-VSD-16,12/06/2018
18,Điều chỉnh lần 17,Đăng ký bổ sung,7.500.000,75.000.000.000,số: 119/2009/GCNCP-VSD-17,02/10/2018
19,Điều chỉnh lần 18,Đăng ký bổ sung,169.963.255,1.699.632.550.000,số: 119/2009/GCNCP-VSD-18,18/10/2019
20,Điều chỉnh lần 19,Đăng ký bổ sung,77.738.381,777.383.810.000,119/2009/GCNCP-VSD-19,28/10/2021
21,Điều chỉnh lần 20,Đăng ký bổ sung,4.503.828,45.038.280.000,119/2009/GCNCP-VSD-20,12/04/2022
22,Điều chỉnh lần 21,Đăng ký bổ sung,7.000.000,70.000.000.000,119/2009/GCNCP-VSD-21,15/04/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,609.276.876,6.092.768.760.000,,
