STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,68.000.000,680.000.000.000,50/2006/GCNCP-CNTTLK,28/11/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,9.519.730,95.197.300.000,48/2007/GCNCP-CNTTLK,11/07/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.340.000,13.400.000.000,59/2007/GCNCP-CNTTLK,07/08/2007
4,Điều chỉnh lần 3,Đăng ký bổ sung,31.280.000,312.800.000.000,71/2007/GCNCP-CNTTLK,22/08/2007
5,Điều chỉnh lần 4,Đăng ký bổ sung,22.027.774,220.277.740.000,65/2008/GCNCP-CNTTLK,26/06/2008
6,Điều chỉnh lần 5,Đăng ký bổ sung,25.716.285,257.162.850.000,088/2009/GCNCP-CNVSD,14/10/2009
7,Điều chỉnh lần 6,Đăng ký bổ sung,52.624.426,526.244.260.000,04/2010/GCNCP-CNVSD,08/01/2010
8,Điều chỉnh lần 7,Đăng ký bổ sung,38.000.000,380.000.000.000,50/2006/GCNCP-VSD-7,13/08/2013
9,Điều chỉnh lần 8,Đăng ký bổ sung,2.000.000,20.000.000.000,50/2006/GCNCP-VSD-8,15/11/2013
10,Điều chỉnh lần 9,Đăng ký bổ sung,25.020.480,250.204.800.000,50/2006/GCNCP-VSD-9,23/12/2013
11,Điều chỉnh lần 10,Đăng ký bổ sung,27.544.655,275.446.550.000,50/2006/GCNCP-VSD-10,18/09/2014
12,Điều chỉnh lần 11,Đăng ký bổ sung,45.392.909,453.929.090.000,50/2006/GCNCP-VSD-11,13/08/2015
13,Điều chỉnh lần 12,Đăng ký bổ sung,34.799.901,347.999.010.000,số 50/2006/GCNCP-VSD-12,07/12/2016
14,Điều chỉnh lần 13,Đăng ký bổ sung,38.279.629,382.796.290.000,số 50/2006/GCNCP-VSD-13,28/08/2019
15,Điều chỉnh lần 14,Đăng ký bổ sung,84.221.021,842.210.210.000,50/2006/GCNCP-VSD-14,02/06/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,505.766.810,5.057.668.100.000,,
