STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,30.000.000,300.000.000.000,06/GCN/CNTTLK-ĐK,09/05/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,10.000.000,100.000.000.000,96/2007/GCNCP-CNTTLK,26/10/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,10.054.000,100.540.000.000,078/2009/GCNCP-CNVSD,23/09/2009
4,Điều chỉnh lần 3,Đăng ký bổ sung,25.027.000,250.270.000.000,22/2010/GCNCP-CNVSD,03/02/2010
5,Điều chỉnh lần 4,Đăng ký bổ sung,37.720.500,377.205.000.000,06/2006/GCNCP-VSD-4,11/10/2012
6,Điều chỉnh lần 5,Đăng ký bổ sung,60.000,600.000.000,06/2006/GCNCP-VSD-5,24/01/2014
7,Điều chỉnh lần 6,Đăng ký bổ sung,2.665.500,26.655.000.000,06/2006/GCNCP-VSD-6,19/08/2014
8,Điều chỉnh lần 7,Đăng ký bổ sung,40.000,400.000.000,06/2006/GCNCP-VSD-7,23/12/2014
9,Điều chỉnh lần 8,Đăng ký bổ sung,71.187.904,711.879.040.000,06/2006/GCNCP-VSD-8,05/01/2015
10,Điều chỉnh lần 9,Đăng ký bổ sung,8.536.000,85.360.000.000,06/2006/GCNCP-VSD-9,22/01/2015
11,Điều chỉnh lần 10,Đăng ký bổ sung,7.318.634,73.186.340.000,06/2006/GCNCP-VSD-10,24/07/2015
12,Điều chỉnh lần 11,Đăng ký bổ sung,9.810.000,98.100.000.000,06/2006/GCNCP-VSD-11,28/07/2015
13,Điều chỉnh lần 12,Đăng ký bổ sung,19.600,196.000.000,06/2006/GCNCP-VSD-12,04/08/2015
14,Điều chỉnh lần 13,Đăng ký bổ sung,14.618.500,146.185.000.000,06/2006/GCNCP-VSD-13,29/09/2015
15,Điều chỉnh lần 14,Đăng ký bổ sung,1.006.400,10.064.000.000,06/2006/GCNCP-VSD-14,01/12/2015
16,Điều chỉnh lần 15,Đăng ký bổ sung,32.090.369,320.903.690.000,số 06/2006/GCNCP-VSD-15,22/02/2016
17,Điều chỉnh lần 16,Đăng ký bổ sung,13.673.830,136.738.300.000,số 06/2006/GCNCP-VSD-16,11/07/2016
18,Điều chỉnh lần 17,Đăng ký bổ sung,6.400,64.000.000,số 06/2006/GCNCP-VSD-17,07/10/2016
19,Điều chỉnh lần 18,Đăng ký bổ sung,993.600,9.936.000.000,số 06/2006/GCNCP-VSD-18,21/11/2016
20,Điều chỉnh lần 19,Đăng ký bổ sung,4.978.178,49.781.780.000,06/2006/GCNCP-VSD-19,30/06/2017
21,Điều chỉnh lần 20,Đăng ký bổ sung,236.858,2.368.580.000,06/2006/GCNCP-VSD-20,16/07/2018
22,Điều chỉnh lần 21,Đăng ký bổ sung,3.000.000,30.000.000.000,số 06/2006/GCNCP-VSD-21,25/01/2019
23,Điều chỉnh lần 22,Đăng ký bổ sung,124.879,1.248.790.000,số 06/2006/GCNCP-VSD-22,08/07/2019
24,Điều chỉnh lần 23,Đăng ký bổ sung,41.426,414.260.000,06/2006/GCNCP-VSD-23,27/07/2021
25,Điều chỉnh lần 24,Đăng ký bổ sung,95.193,951.930.000,06/2006/GCNCP-VSD-24,07/12/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,283.304.771,2.833.047.710.000,,
